50
642	40.0417
615	20.6085
130	18.0067
540	14.905
203	11.903
114	11.3872
18	10.3198
226	8.8948
305	8.4836
98	8.0985
497	7.089
623	6.8977
224	6.5264
294	6.784
174	6.3405
452	5.9572
677	5.8964
590	5.563
145	6.0397
164	4.9913
135	4.8708
207	5.0927
533	4.601
90	4.8501
52	4.6945
453	4.283
547	4.0888
448	4.406
378	4.1721
274	4.1041
352	3.7599
138	3.7545
232	3.7003
218	3.6484
464	3.7554
522	3.2246
270	3.6833
330	3.3818
649	3.6068
594	3.1963
536	3.1907
271	3.1819
59	2.913
502	3.083
111	2.9821
95	2.8014
5	3.055
652	3.2904
630	2.7275
560	2.7586
